Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1972","1972","t","281287","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1972","1972","t","485262","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1973","1973","t","264587","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1973","1973","t","482525","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1974","1974","t","267793","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1974","1974","t","522770","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1975","1975","t","253734","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1975","1975","t","536324","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1976","1976","t","243578","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1976","1976","t","553685","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1977","1977","t","241932","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1977","1977","t","616949","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1978","1978","t","252596","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1978","1978","t","595842","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1979","1979","t","248650","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1979","1979","t","677972","A","Official figure",""
